id,name,email,salary,is_founder,manager_id,founder_key,created_at,updated_at
46,"Abdul Emard",employee_698edb4c2f3a6@example.com,1908,0,45,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
47,"Josh Schneider",employee_698edb4c2f53d@example.com,4177,0,19,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
49,"Esta Abshire I",employee_698edb4c2f897@example.com,8071,0,15,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
50,"Jammie Smitham",employee_698edb4c2fa47@example.com,4854,0,4,,"2026-02-13 08:05:32","2026-02-13 13:44:07"
51,"Kevin Yundt",employee_698edb4c2fbe8@example.com,2529,0,33,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
52,"Clement Hagenes",employee_698edb4c2fd73@example.com,4540,0,23,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
53,"Wilfred Yundt",employee_698edb4c2fefb@example.com,3899,0,4,,"2026-02-13 08:05:32","2026-02-13 13:44:07"
54,"Jadyn Zemlak",employee_698edb4c30074@example.com,7684,0,50,,"2026-02-13 08:05:32","2026-02-13 08:05:32"
55,"Dr. ahmed Ameen",founder@hr.com,1045,1,,1,"2026-02-13 13:36:17","2026-02-13 13:36:17"
56,"Faris Little",Faris@hr.com,9762,0,4,,"2026-02-13 13:40:44","2026-02-13 13:44:07"
